year,fuel_price,fuel_price_per_litre
1986.0,45.7,0.8918355
1991.0,53.8,0.8338462
1996.0,56.1,0.8109816000000001
2001.0,67.8,0.8856714
2006.0,93.4,1.101653
2011.0,124.1,1.325388
2016.0,100.7,1.0070000000000001
